REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,1,2010,0.0034729699294979996
Globe,ALUPLANT,CO2EQ,1,2011,0.0035828584173719998
Globe,ALUPLANT,CO2EQ,1,2012,0.003691038679631999
Globe,ALUPLANT,CO2EQ,1,2013,0.0037975899887279997
Globe,ALUPLANT,CO2EQ,1,2014,0.003902508472787999
Globe,ALUPLANT,CO2EQ,1,2015,0.00400586833152
Globe,ALUPLANT,CO2EQ,1,2016,0.0041076919800000005
Globe,ALUPLANT,CO2EQ,1,2017,0.00420799158
Globe,ALUPLANT,CO2EQ,1,2018,0.004306832171874
Globe,ALUPLANT,CO2EQ,1,2019,0.004404217389983999
Globe,ALUPLANT,CO2EQ,1,2020,0.00450020773836
Globe,ALUPLANT,CO2EQ,1,2021,0.004594822896816
Globe,ALUPLANT,CO2EQ,1,2022,0.0046880654357447996
Globe,ALUPLANT,CO2EQ,1,2023,0.004780006339409999
Globe,ALUPLANT,CO2EQ,1,2024,0.004870638128088
Globe,ALUPLANT,CO2EQ,1,2025,0.0049600236483
Globe,ALUPLANT,CO2EQ,1,2026,0.00504816606
Globe,ALUPLANT,CO2EQ,1,2027,0.005135077619999999
Globe,ALUPLANT,CO2EQ,1,2028,0.005220816893676
Globe,ALUPLANT,CO2EQ,1,2029,0.005305374021491999
Globe,ALUPLANT,CO2EQ,1,2030,0.00538880715
Globe,ALUPLANT,CO2EQ,1,2031,0.00547112556
Globe,ALUPLANT,CO2EQ,1,2032,0.00555232311
Globe,ALUPLANT,CO2EQ,1,2033,0.005632471198098
Globe,ALUPLANT,CO2EQ,1,2034,0.005711541088787998
Globe,ALUPLANT,CO2EQ,1,2035,0.00578960361
Globe,ALUPLANT,CO2EQ,1,2036,0.00586665045
Globe,ALUPLANT,CO2EQ,1,2037,0.00594268578
Globe,ALUPLANT,CO2EQ,1,2038,0.0060177661199999994
Globe,ALUPLANT,CO2EQ,1,2039,0.00609187221
Globe,ALUPLANT,CO2EQ,1,2040,0.00616506039
Globe,ALUPLANT,CO2EQ,1,2041,0.00623733255
Globe,ALUPLANT,CO2EQ,1,2042,0.006308676449999999
Globe,ALUPLANT,CO2EQ,1,2043,0.006379161029999999
Globe,ALUPLANT,CO2EQ,1,2044,0.00644875038
Globe,ALUPLANT,CO2EQ,1,2045,0.006517512879587999
Globe,ALUPLANT,CO2EQ,1,2046,0.006585434891946
Globe,ALUPLANT,CO2EQ,1,2047,0.0066525144755760005
Globe,ALUPLANT,CO2EQ,1,2048,0.006718806818963998
Globe,ALUPLANT,CO2EQ,1,2049,0.006784285936499999
Globe,ALUPLANT,CO2EQ,1,2050,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2051,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2052,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2053,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2054,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2055,0.0068490066042
