REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.44363768914485
Globe,ALUPLANT,2011,137.81655988203656
Globe,ALUPLANT,2012,143.19569109566325
Globe,ALUPLANT,2013,148.5825227130887
Globe,ALUPLANT,2014,153.9752496032659
Globe,ALUPLANT,2015,159.37520744580019
Globe,ALUPLANT,2016,164.78175249551404
Globe,ALUPLANT,2017,170.19380913880804
Globe,ALUPLANT,2018,175.6126131262679
Globe,ALUPLANT,2019,181.0368238877556
Globe,ALUPLANT,2020,186.46750770357636
Globe,ALUPLANT,2021,191.9040546252138
Globe,ALUPLANT,2022,197.3453125788443
Globe,ALUPLANT,2023,202.79288428428177
Globe,ALUPLANT,2024,208.2451614122295
Globe,ALUPLANT,2025,213.7035006689874
Globe,ALUPLANT,2026,219.16691476517602
Globe,ALUPLANT,2027,224.63465516391597
Globe,ALUPLANT,2028,230.10808467953566
Globe,ALUPLANT,2029,235.5855460645539
Globe,ALUPLANT,2030,241.068587233425
Globe,ALUPLANT,2031,246.556455732252
Globe,ALUPLANT,2032,252.04776927092902
Globe,ALUPLANT,2033,257.5446203670044
Globe,ALUPLANT,2034,263.0447709978607
Globe,ALUPLANT,2035,268.550377476276
Globe,ALUPLANT,2036,274.06005429171
Globe,ALUPLANT,2037,279.572926191838
Globe,ALUPLANT,2038,285.090800702116
Globe,ALUPLANT,2039,290.611748466015
Globe,ALUPLANT,2040,296.137511322243
Globe,ALUPLANT,2041,301.66720270685
Globe,ALUPLANT,2042,307.19945761184
Globe,ALUPLANT,2043,312.73666838614196
Globe,ALUPLANT,2044,318.276212032568
Globe,ALUPLANT,2045,323.8205273348463
Globe,ALUPLANT,2046,329.36825780421646
Globe,ALUPLANT,2047,334.918402017566
Globe,ALUPLANT,2048,340.4729226816821
Globe,ALUPLANT,2049,346.02963971489817
Globe,ALUPLANT,2050,351.5907100236718
Globe,ALUPLANT,2051,351.5907100236718
Globe,ALUPLANT,2052,351.5907100236718
Globe,ALUPLANT,2053,351.5907100236718
Globe,ALUPLANT,2054,351.5907100236718
Globe,ALUPLANT,2055,351.5907100236718
Globe,ALUPLANT,2056,351.5907100236718
Globe,ALUPLANT,2057,351.5907100236718
Globe,ALUPLANT,2058,351.5907100236718
Globe,ALUPLANT,2059,351.5907100236718
Globe,ALUPLANT,2060,351.5907100236718
Globe,ALUPLANT,2061,351.5907100236718
Globe,ALUPLANT,2062,351.5907100236718
Globe,ALUPLANT,2063,351.5907100236718
Globe,ALUPLANT,2064,351.5907100236718
Globe,ALUPLANT,2065,351.5907100236718
Globe,ALUPLANT,2066,351.5907100236718
Globe,ALUPLANT,2067,351.5907100236718
Globe,ALUPLANT,2068,351.5907100236718
Globe,ALUPLANT,2069,351.5907100236718
Globe,ALUPLANT,2070,351.5907100236718
Globe,C1BFRDF00,2010,4359743.351361072
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331270026677
Globe,C1BFRDF00,2014,28.20266501077332
Globe,C1BFRDF00,2015,26.277331677453333
Globe,C1BFRDF00,2016,24.261331946066655
Globe,C1BFRDF00,2017,22.389331833093337
Globe,C1BFRDF00,2018,20.645331877240007
Globe,C1BFRDF00,2019,19.029331958506678
Globe,C1BFRDF00,2020,17.530665631799994
Globe,C1BFRDF00,2022,27.714338534520394
Globe,C1BFRDF00,2023,26.4876719445204
Globe,C1BFRDF00,2024,21.23548560584873
Globe,C1BFRDF00,2025,25.255672021520397
Globe,C1BFRDF00,2026,24.401389862113035
Globe,C1BFRDF00,2027,25.093508298322295
Globe,C1BFRDF00,2028,24.542073666120302
Globe,C1BFRDF00,2029,23.980992634521197
Globe,C1BFRDF00,2030,23.4100108035409
Globe,C1BFRDF00,2031,22.828862573195998
Globe,C1BFRDF00,2032,22.2372748768369
Globe,C1BFRDF00,2033,21.6349629144814
Globe,C1BMBRFH1,2010,0.00022601453982599998
Globe,C1BMBRFH1,2011,0.00017369456592479998
Globe,C1BMBRFH1,2012,0.0001559592779822
Globe,C1BMBRFH1,2013,0.00014482608751859998
Globe,C1BMBRFH1,2014,0.000130894680163
Globe,C1BMBRFH1,2015,0.0001148065261836
Globe,C1BMBRFH1,2016,0.00011552319790380001
Globe,C1BMBRFH1,2017,0.0001158591043094
Globe,C1BMBRFH1,2018,0.00011520100999999998
Globe,C1BMBRFH1,2019,9.873921600000001e-05
Globe,C1BMBRFH1,2020,8.227742400000001e-05
Globe,C1BMBRFH1,2021,6.584716800000001e-05
Globe,C1BMBRFH1,2022,4.9385376000000004e-05
Globe,C1BMBRFH1,2023,5.2461052000000014e-05
Globe,C1BMBRFH1,2024,6.1687598e-05
Globe,C1BMBRFH1,2025,7.5931414e-05
Globe,C1BMBRFH1,2026,7.7927481e-05
Globe,C1BMBRFH1,2027,7.7927481e-05
Globe,C1BMBRFH1,2028,7.7927481e-05
Globe,C1BMBRFH1,2029,7.7927481e-05
Globe,C1BMBRFH1,2030,7.7927481e-05
Globe,C1BMBRFH1,2031,7.7927481e-05
Globe,C1BMBRFH1,2032,7.7927481e-05
Globe,C1BMBRFH1,2033,7.625986188780001e-05
Globe,C1BMBRFH1,2034,8.0312887e-05
Globe,C1BMBRFH1,2035,8.0312887e-05
Globe,C1BMBRFH1,2036,8.0312887e-05
Globe,C1BMBRFH1,2037,8.0312887e-05
Globe,C1BMBRFH1,2038,6.0775419e-05
Globe,C1BMBRFH1,2039,3.21608184446e-05
Globe,C1BMBRFH1,2040,4.3814728e-06
Globe,C1BMBRFH1,2041,2.1864626813000002e-06
Globe,C1BMBRFH1,2043,2.3854055e-06
Globe,C1BMBRFH1,2044,2.3854055e-06
Globe,C1BMBRFH1,2045,2.3854055e-06
Globe,C1BMBRFH1,2046,2.3854055e-06
Globe,C1BMBRFH1,2047,2.3854055e-06
Globe,C1BMBRFH1,2048,2.3854055e-06
Globe,C1BMBRFN1,2010,2.20752e-05
Globe,C1BMBRFN1,2011,2.20752e-05
Globe,C1BMBRFN1,2012,2.20752e-05
Globe,C1BMBRFN1,2013,2.20752e-05
Globe,C1BMBRFN1,2014,2.20752e-05
Globe,C1BMBRFN1,2015,2.20752e-05
Globe,C1BMBRFN1,2016,2.20752e-05
Globe,C1BMBRFN1,2017,2.20752e-05
Globe,C1BMBRFN1,2018,2.20752e-05
Globe,C1BMBRFN1,2019,3.7723254e-05
Globe,C1BMBRFN1,2020,5.3491254e-05
Globe,C1BMBRFN1,2021,6.9259254e-05
Globe,C1BMBRFN1,2022,8.5027254e-05
Globe,C1BMBRFN1,2023,0.00010079525
Globe,C1BMBRFN1,2024,0.00011656325
Globe,C1BMBRFN1,2025,0.00011025605000000001
Globe,C1BMBRFN1,2026,0.00012602405000000002
Globe,C1BMBRFN1,2027,0.00014179205
Globe,C1BMBRFN1,2028,0.00015756005
Globe,C1BMBRFN1,2029,0.00017332805
Globe,C1BMBRFN1,2030,0.00018909604999999997
Globe,C1BMBRFN1,2031,0.00020486404999999999
Globe,C1BMBRFN1,2032,0.00022063205
Globe,C1BMBRFN1,2033,0.00023640005
Globe,C1BMBRFN1,2034,0.00023652
Globe,C1BMBRFN1,2035,0.00023652
Globe,C1BMBRFN1,2036,0.00023652
Globe,C1BMBRFN1,2037,0.00023652
Globe,C1BMBRFN1,2038,0.00023652
Globe,C1BMBRFN1,2039,0.00023652
Globe,C1BMBRFN1,2040,0.00023652
Globe,C1BMBRFN1,2041,0.00023652
Globe,C1BMBRFN1,2042,0.00023652
Globe,C1BMBRFN1,2043,0.00023652
Globe,C1BMBRFN1,2044,0.00022075200000000003
Globe,C1BMBRFN1,2045,0.00020498400000000004
Globe,C1BMBRFN1,2046,0.00018921600000000003
Globe,C1BMBRFN1,2047,0.000173448
Globe,C1BMBRFN1,2048,0.00015768
