REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.3000003239481
Globe,ALUPLANT,ALU,2011,88.68530011906998
Globe,ALUPLANT,ALU,2012,92.07049917096714
Globe,ALUPLANT,ALU,2013,95.45580000222381
Globe,ALUPLANT,ALU,2014,98.84100015056431
Globe,ALUPLANT,ALU,2015,102.22619904854015
Globe,ALUPLANT,ALU,2016,105.61149926712002
Globe,ALUPLANT,ALU,2017,108.99680056902001
Globe,ALUPLANT,ALU,2018,112.38200015597216
Globe,ALUPLANT,ALU,2019,115.7673008831683
Globe,ALUPLANT,ALU,2020,119.15250031163977
Globe,ALUPLANT,ALU,2021,122.53780022755363
Globe,ALUPLANT,ALU,2022,125.92300029258391
Globe,ALUPLANT,ALU,2023,129.30820038190382
Globe,ALUPLANT,ALU,2024,132.69350043357255
Globe,ALUPLANT,ALU,2025,136.0787999048492
Globe,ALUPLANT,ALU,2026,139.46400101760003
Globe,ALUPLANT,ALU,2027,142.8493009257
Globe,ALUPLANT,ALU,2028,146.2345011010988
Globe,ALUPLANT,ALU,2029,149.6198002101078
Globe,ALUPLANT,ALU,2030,153.00500016630002
Globe,ALUPLANT,ALU,2031,156.39030042407998
Globe,ALUPLANT,ALU,2032,159.77550058773002
Globe,ALUPLANT,ALU,2033,163.16079983636976
Globe,ALUPLANT,ALU,2034,166.54599968635196
Globe,ALUPLANT,ALU,2035,169.9312988464
Globe,ALUPLANT,ALU,2036,173.3164986942
Globe,ALUPLANT,ALU,2037,176.70179987778002
Globe,ALUPLANT,ALU,2038,180.08700026644
Globe,ALUPLANT,ALU,2039,183.47229972201998
Globe,ALUPLANT,ALU,2040,186.85750036721998
Globe,ALUPLANT,ALU,2041,190.2428009967
Globe,ALUPLANT,ALU,2042,193.62800049555
Globe,ALUPLANT,ALU,2043,197.01330045484997
Globe,ALUPLANT,ALU,2044,200.3985006976
Globe,ALUPLANT,ALU,2045,203.78379937417571
Globe,ALUPLANT,ALU,2046,207.16900112076524
Globe,ALUPLANT,ALU,2047,210.5543006568056
Globe,ALUPLANT,ALU,2048,213.93950019536064
Globe,ALUPLANT,ALU,2049,217.324800451647
Globe,ALUPLANT,ALU,2050,220.70999882107884
Globe,ALUPLANT,ALU,2051,220.70999882107884
Globe,ALUPLANT,ALU,2052,220.70999882107884
Globe,ALUPLANT,ALU,2053,220.70999882107884
Globe,ALUPLANT,ALU,2054,220.70999882107884
Globe,ALUPLANT,ALU,2055,220.70999882107884
Globe,ALUPLANT,ALU,2056,220.70999882107884
Globe,ALUPLANT,ALU,2057,220.70999882107884
Globe,ALUPLANT,ALU,2058,220.70999882107884
Globe,ALUPLANT,ALU,2059,220.70999882107884
Globe,ALUPLANT,ALU,2060,220.70999882107884
Globe,ALUPLANT,ALU,2061,220.70999882107884
Globe,ALUPLANT,ALU,2062,220.70999882107884
Globe,ALUPLANT,ALU,2063,220.70999882107884
Globe,ALUPLANT,ALU,2064,220.70999882107884
Globe,ALUPLANT,ALU,2065,220.70999882107884
Globe,ALUPLANT,ALU,2066,220.70999882107884
Globe,ALUPLANT,ALU,2067,220.70999882107884
Globe,ALUPLANT,ALU,2068,220.70999882107884
Globe,ALUPLANT,ALU,2069,220.70999882107884
Globe,ALUPLANT,ALU,2070,220.70999882107884
Globe,C1BFRDF00,C1_F_RD,2010,0.12462628502340001
Globe,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,C1BFRDF00,C1_F_RD,2012,0.6066999999999999
Globe,C1BFRDF00,C1_F_RD,2013,0.566799996738
Globe,C1BFRDF00,C1_F_RD,2014,0.5288000020019998
Globe,C1BFRDF00,C1_F_RD,2015,0.492699999746
Globe,C1BFRDF00,C1_F_RD,2016,0.45490000242
Globe,C1BFRDF00,C1_F_RD,2017,0.419799998108
Globe,C1BFRDF00,C1_F_RD,2018,0.387099996892
Globe,C1BFRDF00,C1_F_RD,2019,0.356799996522
Globe,C1BFRDF00,C1_F_RD,2020,0.32870000114
Globe,C1BFRDF00,C1_F_RD,2022,0.51964388
Globe,C1BFRDF00,C1_F_RD,2023,0.49664388
Globe,C1BFRDF00,C1_F_RD,2024,0.39816537999499996
Globe,C1BFRDF00,C1_F_RD,2025,0.47354388
Globe,C1BFRDF00,C1_F_RD,2026,0.45752608851
Globe,C1BFRDF00,C1_F_RD,2027,0.47050330999999995
Globe,C1BFRDF00,C1_F_RD,2028,0.46016391
Globe,C1BFRDF00,C1_F_RD,2029,0.44964364
Globe,C1BFRDF00,C1_F_RD,2030,0.43893773
Globe,C1BFRDF00,C1_F_RD,2031,0.4280412
Globe,C1BFRDF00,C1_F_RD,2032,0.41694893
Globe,C1BFRDF00,C1_F_RD,2033,0.40565558
Globe,C1BMBRFH1,C1_F_HEA_R,2010,22.6014539826
Globe,C1BMBRFH1,C1_F_HEA_R,2011,17.36945659248
Globe,C1BMBRFH1,C1_F_HEA_R,2012,15.59592779822
Globe,C1BMBRFH1,C1_F_HEA_R,2013,14.482608751859999
Globe,C1BMBRFH1,C1_F_HEA_R,2014,13.0894680163
Globe,C1BMBRFH1,C1_F_HEA_R,2015,11.480652618359999
Globe,C1BMBRFH1,C1_F_HEA_R,2016,11.55231979038
Globe,C1BMBRFH1,C1_F_HEA_R,2017,11.585910430939999
Globe,C1BMBRFH1,C1_F_HEA_R,2018,11.520100999999999
Globe,C1BMBRFH1,C1_F_HEA_R,2019,9.8739216
Globe,C1BMBRFH1,C1_F_HEA_R,2020,8.2277424
Globe,C1BMBRFH1,C1_F_HEA_R,2021,6.584716800000001
Globe,C1BMBRFH1,C1_F_HEA_R,2022,4.9385376
Globe,C1BMBRFH1,C1_F_HEA_R,2023,5.246105200000001
Globe,C1BMBRFH1,C1_F_HEA_R,2024,6.168759799999999
Globe,C1BMBRFH1,C1_F_HEA_R,2025,7.5931414
Globe,C1BMBRFH1,C1_F_HEA_R,2026,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2027,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2028,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2029,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2030,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2031,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2032,7.7927481
Globe,C1BMBRFH1,C1_F_HEA_R,2033,7.62598618878
Globe,C1BMBRFH1,C1_F_HEA_R,2034,8.031288700000001
Globe,C1BMBRFH1,C1_F_HEA_R,2035,8.031288700000001
Globe,C1BMBRFH1,C1_F_HEA_R,2036,8.031288700000001
Globe,C1BMBRFH1,C1_F_HEA_R,2037,8.031288700000001
Globe,C1BMBRFH1,C1_F_HEA_R,2038,6.0775419
Globe,C1BMBRFH1,C1_F_HEA_R,2039,3.2160818444599997
Globe,C1BMBRFH1,C1_F_HEA_R,2040,0.43814728
Globe,C1BMBRFH1,C1_F_HEA_R,2041,0.21864626813
Globe,C1BMBRFH1,C1_F_HEA_R,2043,0.23854055
Globe,C1BMBRFH1,C1_F_HEA_R,2044,0.23854055
Globe,C1BMBRFH1,C1_F_HEA_R,2045,0.23854055
Globe,C1BMBRFH1,C1_F_HEA_R,2046,0.23854055
Globe,C1BMBRFH1,C1_F_HEA_R,2047,0.23854055
Globe,C1BMBRFH1,C1_F_HEA_R,2048,0.23854055
Globe,C1BMBRFN1,C1_F_HEA_R,2010,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2011,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2012,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2013,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2014,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2015,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2016,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2017,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2018,2.20752
Globe,C1BMBRFN1,C1_F_HEA_R,2019,3.7723254
Globe,C1BMBRFN1,C1_F_HEA_R,2020,5.3491254
Globe,C1BMBRFN1,C1_F_HEA_R,2021,6.925925399999999
Globe,C1BMBRFN1,C1_F_HEA_R,2022,8.5027254
Globe,C1BMBRFN1,C1_F_HEA_R,2023,10.079524999999999
Globe,C1BMBRFN1,C1_F_HEA_R,2024,11.656324999999999
Globe,C1BMBRFN1,C1_F_HEA_R,2025,11.025605
Globe,C1BMBRFN1,C1_F_HEA_R,2026,12.602405000000001
Globe,C1BMBRFN1,C1_F_HEA_R,2027,14.179205
Globe,C1BMBRFN1,C1_F_HEA_R,2028,15.756004999999998
Globe,C1BMBRFN1,C1_F_HEA_R,2029,17.332805
Globe,C1BMBRFN1,C1_F_HEA_R,2030,18.909605
Globe,C1BMBRFN1,C1_F_HEA_R,2031,20.486404999999998
Globe,C1BMBRFN1,C1_F_HEA_R,2032,22.063205
Globe,C1BMBRFN1,C1_F_HEA_R,2033,23.640005
Globe,C1BMBRFN1,C1_F_HEA_R,2034,23.651999999999997
Globe,C1BMBRFN1,C1_F_HEA_R,2035,23.651999999999997
Globe,C1BMBRFN1,C1_F_HEA_R,2036,23.651999999999997
Globe,C1BMBRFN1,C1_F_HEA_R,2037,23.651999999999997
