REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,93.0613139035
Globe,ID,ALUPLANT,ALU,2011,93.13374275346
Globe,ID,ALUPLANT,ALU,2012,97.06336841454
Globe,ID,ALUPLANT,ALU,2013,100.47351817155
Globe,ID,ALUPLANT,ALU,2014,103.21990572767997
Globe,ID,ALUPLANT,ALU,2015,102.98914387463999
Globe,ID,ALUPLANT,ALU,2016,105.61149926712002
Globe,ID,ALUPLANT,ALU,2017,108.99680056902001
Globe,ID,ALUPLANT,ALU,2018,115.54598746665
Globe,ID,ALUPLANT,ALU,2019,126.30078647519998
Globe,ID,ALUPLANT,ALU,2020,129.9939999036
Globe,ID,ALUPLANT,ALU,2021,127.1325902292
Globe,ID,ALUPLANT,ALU,2022,135.94001565297
Globe,ID,ALUPLANT,ALU,2023,134.72927178732
Globe,ID,ALUPLANT,ALU,2024,134.45592968424003
Globe,ID,ALUPLANT,ALU,2025,136.51319460632
Globe,ID,ALUPLANT,ALU,2026,139.46400101760003
Globe,ID,ALUPLANT,ALU,2027,142.8493009257
Globe,ID,ALUPLANT,ALU,2028,147.36845390011
Globe,ID,ALUPLANT,ALU,2029,151.92583431542
Globe,ID,ALUPLANT,ALU,2030,153.0050001663
Globe,ID,ALUPLANT,ALU,2031,156.39030042408
Globe,ID,ALUPLANT,ALU,2032,159.77550058773002
Globe,ID,ALUPLANT,ALU,2033,163.59057067749
Globe,ID,ALUPLANT,ALU,2034,168.23846873099998
Globe,ID,ALUPLANT,ALU,2035,169.9312988464
Globe,ID,ALUPLANT,ALU,2036,173.3164986942
Globe,ID,ALUPLANT,ALU,2037,176.70179987778002
Globe,ID,ALUPLANT,ALU,2038,180.08700026644001
Globe,ID,ALUPLANT,ALU,2039,183.47229972201998
Globe,ID,ALUPLANT,ALU,2040,186.85750036722
Globe,ID,ALUPLANT,ALU,2041,190.24280099670003
Globe,ID,ALUPLANT,ALU,2042,193.62800049555
Globe,ID,ALUPLANT,ALU,2043,197.01330045485
Globe,ID,ALUPLANT,ALU,2044,200.3985006976
Globe,ID,ALUPLANT,ALU,2045,222.32576846408
Globe,ID,ALUPLANT,ALU,2046,226.01898442152
Globe,ID,ALUPLANT,ALU,2047,229.71230706612002
Globe,ID,ALUPLANT,ALU,2048,233.40552061461995
Globe,ID,ALUPLANT,ALU,2049,237.098844045
Globe,ID,ALUPLANT,ALU,2050,240.79205631800005
Globe,ID,ALUPLANT,ALU,2051,240.79205631800005
Globe,ID,ALUPLANT,ALU,2052,240.79205631800005
Globe,ID,ALUPLANT,ALU,2053,240.79205631800005
Globe,ID,ALUPLANT,ALU,2054,240.79205631800005
Globe,ID,ALUPLANT,ALU,2055,240.79205631800005
Globe,ID,ALUPLANT,ALU,2056,240.79205631800005
Globe,ID,ALUPLANT,ALU,2057,240.79205631800005
Globe,ID,ALUPLANT,ALU,2058,240.79205631800005
Globe,ID,ALUPLANT,ALU,2059,240.79205631800005
Globe,ID,ALUPLANT,ALU,2060,240.79205631800005
Globe,ID,ALUPLANT,ALU,2061,240.79205631800005
Globe,ID,ALUPLANT,ALU,2062,240.79205631800005
Globe,ID,ALUPLANT,ALU,2063,240.79205631800005
Globe,ID,ALUPLANT,ALU,2064,240.79205631800005
Globe,ID,ALUPLANT,ALU,2065,240.79205631800005
Globe,ID,ALUPLANT,ALU,2066,240.79205631800005
Globe,ID,ALUPLANT,ALU,2067,240.79205631800005
Globe,ID,ALUPLANT,ALU,2068,240.79205631800005
Globe,ID,ALUPLANT,ALU,2069,240.79205631800005
Globe,ID,ALUPLANT,ALU,2070,240.79205631800005
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.12683861
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.6067
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.5292184
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.45603069999999996
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.58200772
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.3146958
