REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,6.366789
Globe,ALUPLANT,2048,3.2947908999999997
Globe,ALUPLANT,2049,6.113610700000001
Globe,ALUPLANT,2050,12.032760000000001
Globe,ALUPLANT,2051,12.437814999999999
Globe,ALUPLANT,2052,15.579063
Globe,ALUPLANT,2053,20.802997
Globe,ALUPLANT,2054,23.195684
Globe,ALUPLANT,2055,13.711639000000002
Globe,ALUPLANT,2056,23.216994
Globe,ALUPLANT,2057,24.86042
Globe,ALUPLANT,2058,28.161433000000002
Globe,ALUPLANT,2059,33.264156
Globe,ALUPLANT,2060,51.419548999999996
Globe,ALUPLANT,2061,26.824519
Globe,ALUPLANT,2062,50.321051000000004
Globe,ALUPLANT,2063,48.806744
Globe,ALUPLANT,2064,46.102053000000005
Globe,ALUPLANT,2065,28.454273999999998
Globe,ALUPLANT,2066,47.80012
Globe,ALUPLANT,2067,53.867996
Globe,ALUPLANT,2068,76.260491
Globe,ALUPLANT,2069,106.26945
Globe,ALUPLANT,2070,167.76663
Globe,C1BMIGPCS,2042,3.0679656000000004
Globe,C1BMIGPCS,2043,1.7105299999999999
Globe,C1BMIGPCS,2051,91.144993
Globe,C1BMIGPCS,2064,1.8733473000000003
Globe,C1BMIGPCS,2065,184.6021
Globe,C1BMIGPCS,2066,73.560163
Globe,C1BMIGPCS,2067,0.38804462
Globe,C1BMIGPCS,2068,143.9383
Globe,C1BMIGPCS,2069,196.83405
Globe,C1BMIGPCS,2070,194.01261
Globe,C1CO00I00,2046,0.00012032278999999999
Globe,C1CO00I00,2047,0.00040946138
Globe,C1CO00I00,2048,0.00041709074000000003
Globe,C1CO00I00,2049,0.00042435680000000003
Globe,C1CO00I00,2050,0.00043127685999999995
Globe,C1CO00I00,2051,0.00043786739999999996
Globe,C1CO00I00,2052,0.00044414409000000007
Globe,C1CO00I00,2053,0.00045012190000000003
Globe,C1CO00I00,2054,0.00045581504999999995
Globe,C1CO00I00,2055,0.0004612371
Globe,C1CO00I00,2056,0.00046640095
Globe,C1CO00I00,2057,0.00047131890999999997
Globe,C1CO00I00,2058,0.00047600267999999994
Globe,C1CO00I00,2059,0.0004804634099999999
Globe,C1CO00I00,2060,0.00048471172999999993
Globe,C1CO00I00,2061,0.00010750726
Globe,C1CO00I00,2062,4.020493e-05
Globe,C1CO00I00,2063,0.0001396983
Globe,C1CO00I00,2064,0.00012426218999999998
Globe,C1CO00I00,2065,5.5391614e-05
Globe,C1CO00I00,2068,8.0793339e-05
