REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.20996668
Globe,ALUPLANT,2011,4.18063789
Globe,ALUPLANT,2012,4.32355463
Globe,ALUPLANT,2013,4.44134849
Globe,ALUPLANT,2014,4.52822158
Globe,ALUPLANT,2015,4.48418374
Globe,ALUPLANT,2016,4.56410223
Globe,ALUPLANT,2017,4.6755461700000005
Globe,ALUPLANT,2018,4.92009569
Globe,ALUPLANT,2019,5.33883355
Globe,ALUPLANT,2020,5.455193980000001
Globe,ALUPLANT,2021,5.29679398
Globe,ALUPLANT,2022,5.62332788
Globe,ALUPLANT,2023,5.533779578
Globe,ALUPLANT,2024,5.483699678
Globe,ALUPLANT,2025,5.528730198
Globe,ALUPLANT,2026,5.609073348
Globe,ALUPLANT,2027,5.705641748
Globe,ALUPLANT,2028,5.845889838000001
Globe,ALUPLANT,2029,5.985715278
Globe,ALUPLANT,2030,5.987563478
Globe,ALUPLANT,2031,6.0790283679999995
Globe,ALUPLANT,2032,6.169247858
Globe,ALUPLANT,2033,6.274785888
Globe,ALUPLANT,2034,6.410647498
Globe,ALUPLANT,2035,6.432892927999999
Globe,ALUPLANT,2036,6.518500538
Globe,ALUPLANT,2037,6.602984198000001
Globe,ALUPLANT,2038,6.686406787999999
Globe,ALUPLANT,2039,6.768746908000001
Globe,ALUPLANT,2040,6.850067078
Globe,ALUPLANT,2041,6.930369448
Globe,ALUPLANT,2042,7.009640468
Globe,ALUPLANT,2043,7.087956668
Globe,ALUPLANT,2044,7.1652781580000005
Globe,ALUPLANT,2045,7.900590228
Globe,ALUPLANT,2046,7.982925861
Globe,ALUPLANT,2047,8.064240381000001
Globe,ALUPLANT,2048,8.144600603
Globe,ALUPLANT,2049,8.223974993
Globe,ALUPLANT,2050,8.302430063000001
Globe,ALUPLANT,2051,8.302430063000001
Globe,ALUPLANT,2052,8.302430063
Globe,ALUPLANT,2053,8.302430063
Globe,ALUPLANT,2054,8.302430063
Globe,ALUPLANT,2055,8.302430063
Globe,ALUPLANT,2056,8.302430063
Globe,ALUPLANT,2057,8.302430063
Globe,ALUPLANT,2058,8.302430063000001
Globe,ALUPLANT,2059,8.302430063
Globe,ALUPLANT,2060,8.302430063
Globe,ALUPLANT,2061,8.302430063
Globe,ALUPLANT,2062,8.302430063
Globe,ALUPLANT,2063,8.302430063000001
Globe,ALUPLANT,2064,8.302430063
Globe,ALUPLANT,2065,8.302430063
Globe,ALUPLANT,2066,8.302430063
Globe,ALUPLANT,2067,8.302430063000001
Globe,ALUPLANT,2068,8.302430063
Globe,ALUPLANT,2069,8.302430063
Globe,ALUPLANT,2070,8.302430063
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2088
Globe,C1BMBRFH1,2022,0.1566
Globe,C1BMBRFH1,2023,0.166352905
Globe,C1BMBRFH1,2024,0.19561009
Globe,C1BMBRFH1,2025,0.24077693499999997
Globe,C1BMBRFH1,2026,0.24710642259999996
Globe,C1BMBRFH1,2027,0.24710642259999996
Globe,C1BMBRFH1,2028,0.24710642259999996
Globe,C1BMBRFH1,2029,0.24710642259999996
Globe,C1BMBRFH1,2030,0.24710642259999996
Globe,C1BMBRFH1,2031,0.24710642259999996
Globe,C1BMBRFH1,2032,0.24710642259999996
