REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554772199997
Globe,ALUPLANT,2011,3.9809537970799997
Globe,ALUPLANT,2012,4.1011540884799995
Globe,ALUPLANT,2013,4.219544431919999
Globe,ALUPLANT,2014,4.336120525319999
Globe,ALUPLANT,2015,4.4509648128
Globe,ALUPLANT,2016,4.564102200000001
Globe,ALUPLANT,2017,4.6755462
Globe,ALUPLANT,2018,4.78536907986
Globe,ALUPLANT,2019,4.893574877759999
Globe,ALUPLANT,2020,5.0002308204000006
Globe,ALUPLANT,2021,5.10535877424
Globe,ALUPLANT,2022,5.208961595272001
Globe,ALUPLANT,2023,5.3111181549
Globe,ALUPLANT,2024,5.411820142320001
Globe,ALUPLANT,2025,5.511137387
Globe,ALUPLANT,2026,5.609073400000001
Globe,ALUPLANT,2027,5.7056417999999995
Globe,ALUPLANT,2028,5.80090765964
Globe,ALUPLANT,2029,5.89486002388
Globe,ALUPLANT,2030,5.9875635
Globe,ALUPLANT,2031,6.0790284
Globe,ALUPLANT,2032,6.1692479
Globe,ALUPLANT,2033,6.25830133122
Globe,ALUPLANT,2034,6.34615676532
Globe,ALUPLANT,2035,6.4328929
Globe,ALUPLANT,2036,6.5185005
Globe,ALUPLANT,2037,6.602984200000001
Globe,ALUPLANT,2038,6.6864068
Globe,ALUPLANT,2039,6.768746899999999
Globe,ALUPLANT,2040,6.8500670999999995
Globe,ALUPLANT,2041,6.9303695
Globe,ALUPLANT,2042,7.0096405
Globe,ALUPLANT,2043,7.087956699999999
Globe,ALUPLANT,2044,7.1652782
Globe,ALUPLANT,2045,7.24168097732
Globe,ALUPLANT,2046,7.3171498799400005
Globe,ALUPLANT,2047,7.39168275064
Globe,ALUPLANT,2048,7.465340909959998
Globe,ALUPLANT,2049,7.5380954849999995
Globe,ALUPLANT,2050,7.610007338000001
Globe,ALUPLANT,2051,7.610007338000001
Globe,ALUPLANT,2052,7.610007338000001
Globe,ALUPLANT,2053,7.610007338000001
Globe,ALUPLANT,2054,7.610007338000001
Globe,ALUPLANT,2055,7.610007338000001
Globe,ALUPLANT,2056,7.610007338000001
Globe,ALUPLANT,2057,7.610007338000001
Globe,ALUPLANT,2058,7.610007338000001
Globe,ALUPLANT,2059,7.610007338000001
Globe,ALUPLANT,2060,7.610007338000001
Globe,ALUPLANT,2061,7.610007338000001
Globe,ALUPLANT,2062,7.610007338000001
Globe,ALUPLANT,2063,7.610007338000001
