REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.829088657195534
Globe,CO2EQ,2011,36.0267008384286
Globe,CO2EQ,2012,36.28565686751502
Globe,CO2EQ,2013,36.543814939273005
Globe,CO2EQ,2014,36.79934535605356
Globe,CO2EQ,2015,37.083082602319394
Globe,CO2EQ,2016,37.37866742725925
Globe,CO2EQ,2017,37.67442288151512
Globe,CO2EQ,2018,37.97028121825306
Globe,CO2EQ,2019,38.26629835451535
Globe,CO2EQ,2020,38.576321632724955
Globe,CO2EQ,2021,38.26129535907286
Globe,CO2EQ,2022,38.36725225648987
Globe,CO2EQ,2023,38.89550255919674
Globe,CO2EQ,2024,39.39398510436788
Globe,CO2EQ,2025,40.08589701046064
Globe,CO2EQ,2026,39.94798689495791
Globe,CO2EQ,2027,40.42951864125276
Globe,CO2EQ,2028,41.08945762077592
Globe,CO2EQ,2029,41.75440092603868
Globe,CO2EQ,2030,42.05641428538863
Globe,CO2EQ,2031,42.41554038062626
Globe,CO2EQ,2032,42.72198590796734
Globe,CO2EQ,2033,43.02843110455687
Globe,CO2EQ,2034,43.32131368697375
Globe,CO2EQ,2035,43.641321696763285
Globe,CO2EQ,2036,43.94776659173068
Globe,CO2EQ,2037,44.25421246038911
Globe,CO2EQ,2038,44.56065750423549
Globe,CO2EQ,2039,44.867102819639484
Globe,CO2EQ,2040,45.17354792006661
Globe,CO2EQ,2041,45.405993810183354
Globe,CO2EQ,2042,45.57118230194854
Globe,CO2EQ,2043,45.35951113925529
Globe,CO2EQ,2044,45.71325434737148
Globe,CO2EQ,2045,46.13851660950462
Globe,CO2EQ,2046,46.53243201953561
Globe,CO2EQ,2047,46.803722384575
Globe,CO2EQ,2048,47.03660385581591
Globe,CO2EQ,2049,47.269486354691416
Globe,CO2EQ,2050,47.416251019289824
Globe,CO2EQ,2051,47.63202834395126
Globe,CO2EQ,2052,47.39633849037201
Globe,CO2EQ,2053,47.047707905914976
Globe,CO2EQ,2054,46.64366915597704
Globe,CO2EQ,2055,46.3793419788641
Globe,CO2EQ,2056,46.25590593243357
Globe,CO2EQ,2057,46.01497652997836
Globe,CO2EQ,2058,45.68942721908124
Globe,CO2EQ,2059,45.24724082688701
Globe,CO2EQ,2060,43.64869803809412
Globe,CO2EQ,2061,43.41067113775404
Globe,CO2EQ,2062,43.283155884225124
Globe,CO2EQ,2063,43.185466425300845
Globe,CO2EQ,2064,43.0943247290287
Globe,CO2EQ,2065,42.99862665507615
Globe,CO2EQ,2066,42.91855739359027
Globe,CO2EQ,2067,42.82230669429804
Globe,CO2EQ,2068,42.764702445456926
Globe,CO2EQ,2069,42.71168063336496
Globe,CO2EQ,2070,42.83726974859001
Globe,WATER,2010,21.893382442785786
Globe,WATER,2011,21.972120308236306
Globe,WATER,2012,22.03526530860036
Globe,WATER,2013,22.074602756136645
Globe,WATER,2014,22.131034858798174
Globe,WATER,2015,22.172071440205954
Globe,WATER,2016,22.215927331983877
Globe,WATER,2017,22.262919149720794
Globe,WATER,2018,22.27489620672654
Globe,WATER,2019,22.28117084805351
Globe,WATER,2020,22.721507708190103
Globe,WATER,2021,23.89838051884933
Globe,WATER,2022,25.1457682203795
Globe,WATER,2023,25.918103122633802
Globe,WATER,2024,26.752438129501222
Globe,WATER,2025,28.113396103733344
Globe,WATER,2026,29.17463153133225
Globe,WATER,2027,30.250278627393755
Globe,WATER,2028,31.39019222149809
Globe,WATER,2029,32.58333173951207
Globe,WATER,2030,33.81526587387266
Globe,WATER,2031,35.07976355622916
Globe,WATER,2032,36.395924346665396
Globe,WATER,2033,37.775158951166134
Globe,WATER,2034,39.2199421193544
Globe,WATER,2035,40.73428221741247
Globe,WATER,2036,42.30804721659098
Globe,WATER,2037,43.955521290321244
Globe,WATER,2038,45.683266359087014
Globe,WATER,2039,47.478206923727555
Globe,WATER,2040,49.3669455455047
Globe,WATER,2041,51.33969250613712
Globe,WATER,2042,53.403484341627184
Globe,WATER,2043,55.532930985384745
Globe,WATER,2044,57.7879373208263
Globe,WATER,2045,60.13478678349968
Globe,WATER,2046,62.57476636202581
Globe,WATER,2047,65.1277534139774
Globe,WATER,2048,67.81907328800276
Globe,WATER,2049,70.63294976443068
Globe,WATER,2050,73.56472885671522
Globe,WATER,2051,76.5773881389985
Globe,WATER,2052,79.72909710903153
Globe,WATER,2053,83.02953165684985
Globe,WATER,2054,86.49437383582284
Globe,WATER,2055,90.13662847804869
Globe,WATER,2056,92.40347047584889
Globe,WATER,2057,92.48782639836179
Globe,WATER,2058,92.58093232156247
Globe,WATER,2059,92.68558300250835
Globe,WATER,2060,92.69183126838304
Globe,WATER,2061,92.69248300465084
Globe,WATER,2062,92.67646451352476
Globe,WATER,2063,92.66716242794966
Globe,WATER,2064,92.65980811764364
Globe,WATER,2065,92.64406845230056
Globe,WATER,2066,92.61706716462493
Globe,WATER,2067,92.58930037011524
Globe,WATER,2068,92.56486449210071
Globe,WATER,2069,92.54387756431831
Globe,WATER,2070,92.53687165269324
