REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,1,2010,0.0034729699294979996
Globe,ALUPLANT,CO2EQ,1,2011,0.0035828584438229996
Globe,ALUPLANT,CO2EQ,1,2012,0.0036910386945414
Globe,ALUPLANT,CO2EQ,1,2013,0.0037975899522959995
Globe,ALUPLANT,CO2EQ,1,2014,0.003902508458261999
Globe,ALUPLANT,CO2EQ,1,2015,0.004005868397058
Globe,ALUPLANT,CO2EQ,1,2016,0.0041076919800000005
Globe,ALUPLANT,CO2EQ,1,2017,0.00420799158
Globe,ALUPLANT,CO2EQ,1,2018,0.004306832193546
Globe,ALUPLANT,CO2EQ,1,2019,0.004404217389983999
Globe,ALUPLANT,CO2EQ,1,2020,0.00450020773836
Globe,ALUPLANT,CO2EQ,1,2021,0.004594822912188
Globe,ALUPLANT,CO2EQ,1,2022,0.004688065384992
Globe,ALUPLANT,CO2EQ,1,2023,0.004780006308394199
Globe,ALUPLANT,CO2EQ,1,2024,0.004870638136008
Globe,ALUPLANT,CO2EQ,1,2025,0.004960023690959999
Globe,ALUPLANT,CO2EQ,1,2026,0.005048165989458
Globe,ALUPLANT,CO2EQ,1,2027,0.005135077602647999
Globe,ALUPLANT,CO2EQ,1,2028,0.005220816834114
Globe,ALUPLANT,CO2EQ,1,2029,0.005305374009054
Globe,ALUPLANT,CO2EQ,1,2030,0.005388807120749999
Globe,ALUPLANT,CO2EQ,1,2031,0.005471125573518
Globe,ALUPLANT,CO2EQ,1,2032,0.0055523231265492
Globe,ALUPLANT,CO2EQ,1,2033,0.005632471216209599
Globe,ALUPLANT,CO2EQ,1,2034,0.005711541137477999
Globe,ALUPLANT,CO2EQ,1,2035,0.005789603642292
Globe,ALUPLANT,CO2EQ,1,2036,0.005866650513316799
Globe,ALUPLANT,CO2EQ,1,2037,0.005942685800816999
Globe,ALUPLANT,CO2EQ,1,2038,0.00601776612495
Globe,ALUPLANT,CO2EQ,1,2039,0.006091872217523999
Globe,ALUPLANT,CO2EQ,1,2040,0.006165060399359999
Globe,ALUPLANT,CO2EQ,1,2041,0.006237332485326001
Globe,ALUPLANT,CO2EQ,1,2042,0.006308676431297999
Globe,ALUPLANT,CO2EQ,1,2043,0.006379161037271999
Globe,ALUPLANT,CO2EQ,1,2044,0.006448750335863999
Globe,ALUPLANT,CO2EQ,1,2045,0.006517512879587999
Globe,ALUPLANT,CO2EQ,1,2046,0.006585434891946
Globe,ALUPLANT,CO2EQ,1,2047,0.0066525144755760005
Globe,ALUPLANT,CO2EQ,1,2048,0.006718806818963998
Globe,ALUPLANT,CO2EQ,1,2049,0.006784285936499999
Globe,ALUPLANT,CO2EQ,1,2050,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2051,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2052,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2053,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2054,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2055,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2056,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2057,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2058,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2059,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2060,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2061,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2062,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2063,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2064,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2065,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2066,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2067,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2068,0.0068490066042
Globe,ALUPLANT,CO2EQ,1,2069,0.0068490066042
