REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,0.25380975
Globe,ALUPLANT,2048,0.34822252
Globe,ALUPLANT,2049,0.64545655
Globe,ALUPLANT,2050,0.65573798
Globe,ALUPLANT,2051,0.434644
Globe,ALUPLANT,2052,1.2749828
Globe,ALUPLANT,2053,0.93169422
Globe,ALUPLANT,2054,1.0345944
Globe,ALUPLANT,2055,1.1322716999999998
Globe,ALUPLANT,2056,1.2231893999999999
Globe,ALUPLANT,2057,0.95357162
Globe,ALUPLANT,2058,1.5538185
Globe,ALUPLANT,2059,1.6943496999999998
Globe,ALUPLANT,2060,3.0614554
Globe,ALUPLANT,2061,1.6402933999999998
Globe,ALUPLANT,2062,2.7856007999999997
Globe,ALUPLANT,2063,2.5918865
Globe,ALUPLANT,2064,2.0209163
Globe,ALUPLANT,2065,1.4559628999999998
Globe,ALUPLANT,2066,2.434963
Globe,ALUPLANT,2067,2.8032847999999997
Globe,ALUPLANT,2068,4.9754705999999995
Globe,ALUPLANT,2069,4.4213892
Globe,ALUPLANT,2070,3.0321456
Globe,C1BMBRFN1,2057,0.18123415
Globe,C1BMBRFN1,2058,0.3538381
Globe,C1BMBRFN1,2059,0.38360452
Globe,C1BMBRFN1,2060,0.67477968
Globe,C1BMBRFN1,2061,0.63627177
Globe,C1BMBRFN1,2062,0.89537197
Globe,C1BMBRFN1,2063,1.1011229
Globe,C1BMBRFN1,2064,1.2299226
Globe,C1BMBRFN1,2065,1.352589
Globe,C1BMBRFN1,2066,1.4694141
Globe,C1BMBRFN1,2067,1.2546188
Globe,C1BMBRFN1,2068,1.6486083999999999
Globe,C1BMBRFN1,2069,1.7470994
Globe,C1BMBRFN1,2070,1.8411959
Globe,C1BMCHP00,2042,0.1282189
Globe,C1BMCHP00,2051,0.22350113
Globe,C1BMCHP00,2052,0.040716023999999996
Globe,C1BMCHP00,2053,0.33008077
Globe,C1BMCHP00,2054,0.35914362
Globe,C1BMCHP00,2055,2.0926943
Globe,C1BMCHP00,2056,1.8881021
Globe,C1BMCHP00,2057,1.3162651
Globe,C1CO00I00,2022,1.0373474e-06
Globe,C1CO00I00,2023,2.0252972e-06
Globe,C1CO00I00,2024,2.9662018999999998e-06
Globe,C1CO00I00,2025,3.8623016e-06
Globe,C1CO00I00,2026,4.7157298e-06
Globe,C1CO00I00,2027,5.5285186e-06
Globe,C1CO00I00,2028,6.3026032e-06
Globe,C1CO00I00,2029,7.0398266e-06
Globe,C1CO00I00,2030,7.7419441e-06
Globe,C1CO00I00,2031,8.4106275e-06
Globe,C1CO00I00,2032,9.0474688e-06
Globe,C1CO00I00,2033,9.6539843e-06
Globe,C1CO00I00,2034,1.0231618e-05
Globe,C1CO00I00,2035,1.0781746000000001e-05
Globe,C1CO00I00,2036,1.1305677000000001e-05
Globe,C1CO00I00,2037,1.1804657999999999e-05
Globe,C1CO00I00,2038,1.2279879e-05
Globe,C1CO00I00,2039,1.273247e-05
Globe,C1CO00I00,2040,1.7551346e-05
Globe,C1CO00I00,2041,1.8098697999999998e-05
Globe,C1CO00I00,2042,1.8619985e-05
Globe,C1CO00I00,2043,1.9116449e-05
Globe,C1CO00I00,2044,1.9589271e-05
Globe,C1CO00I00,2045,2.0039579e-05
Globe,C1CO00I00,2046,2.0468443e-05
Globe,C1CO00I00,2047,2.0876885000000002e-05
Globe,C1CO00I00,2048,2.1265877e-05
Globe,C1CO00I00,2049,2.1636345999999997e-05
Globe,C1CO00I00,2050,2.1989174e-05
Globe,C1CO00I00,2051,2.23252e-05
Globe,C1CO00I00,2052,2.2645225e-05
Globe,C1CO00I00,2053,2.2950011e-05
Globe,C1CO00I00,2054,2.3240283e-05
Globe,C1CO00I00,2055,2.3516732999999998e-05
Globe,C1CO00I00,2056,2.3780018e-05
Globe,C1CO00I00,2057,2.4030765999999997e-05
Globe,C1CO00I00,2058,2.4269573999999998e-05
Globe,C1CO00I00,2059,2.449701e-05
Globe,C1CO00I00,2060,2.4713615e-05
Globe,C1CO00I00,2061,2.4919906e-05
Globe,C1CO00I00,2062,2.5116374e-05
Globe,C1CO00I00,2063,2.5303485999999998e-05
Globe,C1CO00I00,2064,2.5481688e-05
Globe,C1CO00I00,2065,2.5651404e-05
Globe,C1CO00I00,2066,2.5813038000000002e-05
Globe,C1CO00I00,2067,2.5966975999999998e-05
Globe,C1CO00I00,2068,2.6113583e-05
Globe,C1CO00I00,2069,2.6253209000000003e-05
Globe,C1CO00I00,2070,2.6386185999999997e-05
Globe,C1COBRFH1,2057,0.055951482000000004
Globe,C1COBRFH1,2058,0.10923861
Globe,C1COBRFH1,2059,0.15998825
Globe,C1COBRFH1,2060,0.20832124
Globe,C1COBRFH1,2061,0.25435267
Globe,C1COBRFH1,2062,0.29819212
Globe,C1COBRFH1,2063,0.33994397
Globe,C1COBRFH1,2064,0.37970765
Globe,C1COBRFH1,2065,0.41757781
Globe,C1COBRFH1,2066,0.45364464
Globe,C1COBRFH1,2067,0.48799399
Globe,C1COBRFH1,2068,0.52070766
Globe,C1COBRFH1,2069,0.55186354
Globe,C1COBRFH1,2070,0.58153581
Globe,C1COHTF03,2052,0.09117677699999999
Globe,C1COHTF03,2053,0.1780118
Globe,C1COHTF03,2054,0.26071183
Globe,C1COHTF03,2055,0.33947376
Globe,C1COHTF03,2056,0.41448512
Globe,C1COHTF03,2057,0.48592451
Globe,C1COHTF03,2058,0.55396202
Globe,C1COHTF03,2059,0.61875966
Globe,C1COHTF03,2060,0.68047169
Globe,C1COHTF03,2061,0.73924505
Globe,C1COHTF03,2062,0.79521968
Globe,C1COHTF03,2063,0.84852886
Globe,C1COHTF03,2064,0.8992995
Globe,C1COHTF03,2065,0.94765249
Globe,C1COHTF03,2066,0.99370296
Globe,C1COHTF03,2067,1.0375604999999999
Globe,C1COHTF03,2068,1.0793297
Globe,C1COHTF03,2069,1.1191098
Globe,C1COHTF03,2070,1.1569956000000001
Globe,C1COLP000,2052,0.075588892
Globe,C1COLP000,2065,0.6707125
Globe,C1COLP000,2066,1.8260353999999999
Globe,C1COLP000,2067,1.9066284
Globe,C1COLP000,2068,1.9833836
Globe,C1COLP000,2069,2.0564838
Globe,C1COLP000,2070,2.1261031000000004
Globe,C1COSCP00,2032,0.39633355
Globe,C1COSCP00,2033,0.77551519
Globe,C1COSCP00,2034,1.0767294
