REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,1,ALU,2010,93.0613139035
Globe,ID,ALUPLANT,1,ALU,2011,95.14262957586001
Globe,ID,ALUPLANT,1,ALU,2012,100.17233832606
Globe,ID,ALUPLANT,1,ALU,2013,102.00571976386
Globe,ID,ALUPLANT,1,ALU,2014,103.54568900927998
Globe,ID,ALUPLANT,1,ALU,2015,103.16351545048
Globe,ID,ALUPLANT,1,ALU,2016,105.61149926712002
Globe,ID,ALUPLANT,1,ALU,2017,108.99680056902001
Globe,ID,ALUPLANT,1,ALU,2018,118.53901184125002
Globe,ID,ALUPLANT,1,ALU,2019,126.30078647519998
Globe,ID,ALUPLANT,1,ALU,2020,129.9939999036
Globe,ID,ALUPLANT,1,ALU,2021,131.52742061676
Globe,ID,ALUPLANT,1,ALU,2022,137.38053559824
Globe,ID,ALUPLANT,1,ALU,2023,140.07506696764
Globe,ID,ALUPLANT,1,ALU,2024,144.76707467744
Globe,ID,ALUPLANT,1,ALU,2025,147.3759751346
Globe,ID,ALUPLANT,1,ALU,2026,148.53583778880002
Globe,ID,ALUPLANT,1,ALU,2027,155.8469348058
Globe,ID,ALUPLANT,1,ALU,2028,159.54014775559
Globe,ID,ALUPLANT,1,ALU,2029,163.23347137174
Globe,ID,ALUPLANT,1,ALU,2030,166.9266848525
Globe,ID,ALUPLANT,1,ALU,2031,170.62000961214
Globe,ID,ALUPLANT,1,ALU,2032,172.50571391742
Globe,ID,ALUPLANT,1,ALU,2033,176.97090315366
Globe,ID,ALUPLANT,1,ALU,2034,181.69976118932001
Globe,ID,ALUPLANT,1,ALU,2035,185.3930829088
Globe,ID,ALUPLANT,1,ALU,2036,187.61929774211998
Globe,ID,ALUPLANT,1,ALU,2037,190.689342303
Globe,ID,ALUPLANT,1,ALU,2038,196.47283484025002
Globe,ID,ALUPLANT,1,ALU,2039,200.16615748267998
Globe,ID,ALUPLANT,1,ALU,2040,203.85937230079998
Globe,ID,ALUPLANT,1,ALU,2041,207.55269367674003
Globe,ID,ALUPLANT,1,ALU,2042,211.24590870777
Globe,ID,ALUPLANT,1,ALU,2043,214.93923268540001
Globe,ID,ALUPLANT,1,ALU,2044,218.6324452608
Globe,ID,ALUPLANT,1,ALU,2045,222.32576846408
Globe,ID,ALUPLANT,1,ALU,2046,226.01898442152
Globe,ID,ALUPLANT,1,ALU,2047,229.71230706612002
Globe,ID,ALUPLANT,1,ALU,2048,233.40552061461995
Globe,ID,ALUPLANT,1,ALU,2049,237.098844045
Globe,ID,ALUPLANT,1,ALU,2050,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2051,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2052,240.79205631800005
