REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.44363768914485
Globe,ALUPLANT,2011,137.8165608994884
Globe,ALUPLANT,2012,143.19569167408088
Globe,ALUPLANT,2013,148.58252128766935
Globe,ALUPLANT,2014,153.97524903013596
Globe,ALUPLANT,2015,159.37521005325792
Globe,ALUPLANT,2016,164.78175249551404
Globe,ALUPLANT,2017,170.19380913880804
Globe,ALUPLANT,2018,175.61261400995141
Globe,ALUPLANT,2019,181.0368238877556
Globe,ALUPLANT,2020,186.46750770357636
Globe,ALUPLANT,2021,191.90405526722964
Globe,ALUPLANT,2022,197.3453104423922
Globe,ALUPLANT,2023,202.7928829684292
Globe,ALUPLANT,2024,208.24516175085074
Globe,ALUPLANT,2025,213.70350250700108
Globe,ALUPLANT,2026,219.16691170258412
Globe,ALUPLANT,2027,224.63465440485044
Globe,ALUPLANT,2028,230.1080820543339
Globe,ALUPLANT,2029,235.58554551224356
Globe,ALUPLANT,2030,241.0685859249246
Globe,ALUPLANT,2031,246.5564563414411
Globe,ALUPLANT,2032,252.04777002218012
Globe,ALUPLANT,2033,257.5446211951569
Globe,ALUPLANT,2034,263.0447732402765
Globe,ALUPLANT,2035,268.55037897413825
Globe,ALUPLANT,2036,274.0600572495486
Globe,ALUPLANT,2037,279.57292717117116
Globe,ALUPLANT,2038,285.0908009366216
Globe,ALUPLANT,2039,290.6117488249461
Globe,ALUPLANT,2040,296.13751177184884
Globe,ALUPLANT,2041,301.6671995789064
Globe,ALUPLANT,2042,307.19945670115067
Globe,ALUPLANT,2043,312.73666874264984
Globe,ALUPLANT,2044,318.27620985424846
Globe,ALUPLANT,2045,323.8205273348463
Globe,ALUPLANT,2046,329.36825780421646
Globe,ALUPLANT,2047,334.918402017566
Globe,ALUPLANT,2048,340.4729226816821
Globe,ALUPLANT,2049,346.02963971489817
Globe,ALUPLANT,2050,351.5907100236718
Globe,ALUPLANT,2051,351.5907100236718
Globe,ALUPLANT,2052,351.5907100236718
Globe,ALUPLANT,2053,351.5907100236718
Globe,ALUPLANT,2054,351.5907100236718
Globe,ALUPLANT,2055,351.5907100236718
Globe,ALUPLANT,2056,351.5907100236718
Globe,ALUPLANT,2057,351.5907100236718
Globe,ALUPLANT,2058,351.5907100236718
Globe,ALUPLANT,2059,351.5907100236718
Globe,ALUPLANT,2060,351.5907100236718
Globe,ALUPLANT,2061,351.5907100236718
Globe,ALUPLANT,2062,351.5907100236718
Globe,ALUPLANT,2063,351.5907100236718
Globe,ALUPLANT,2064,351.5907100236718
Globe,ALUPLANT,2065,351.5907100236718
Globe,ALUPLANT,2066,351.5907100236718
Globe,ALUPLANT,2067,351.5907100236718
Globe,ALUPLANT,2068,351.5907100236718
Globe,ALUPLANT,2069,351.5907100236718
Globe,ALUPLANT,2070,351.5907100236718
Globe,C1BFRDF00,2010,4366417.9504654845
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331270026677
Globe,C1BFRDF00,2014,28.20266501077332
Globe,C1BFRDF00,2015,26.277331677453333
Globe,C1BFRDF00,2016,24.261331946066655
Globe,C1BFRDF00,2017,22.389332077519988
Globe,C1BFRDF00,2018,20.64533209078666
Globe,C1BFRDF00,2019,19.029332202933325
Globe,C1BFRDF00,2020,17.5306655398
Globe,C1BFRDF00,2022,27.714338534520394
Globe,C1BFRDF00,2023,0.0860908503441215
Globe,C1BFRDF00,2024,0.3331657227344743
Globe,C1BFRDF00,2025,15.331209274706026
Globe,C1BFRDF00,2026,7.541054397329404
Globe,C1BFRDF00,2027,0.7104367437097008
Globe,C1BFRDF00,2028,1.6781818144202965
